pid,gender,deleg,cond,feasible,achieved_class,fallback_depth,n_valid_cands,n_changed_vars,diversity,anthro_viol,energy_viol,conflict_viol,any_viol
6938,Female,-,C0_pure,True,0.0,0.0,4,16.25,21.2447,0.0,0.25,0.25,1.0
6938,Female,-,C1_posthoc,False,,,0,,,,,,
6938,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,6.5,1.4003,0.0,0.0,0.0,0.0
6938,Female,conservative,C2_pre_rule,True,0.0,0.0,4,6.25,1.6377,0.0,0.0,0.0,0.0
7255,Female,-,C0_pure,True,0.0,0.0,4,14.75,16.1733,0.25,0.0,0.75,1.0
7255,Female,-,C1_posthoc,False,,,0,,,,,,
7255,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,12.5,9.4157,0.0,0.0,0.0,0.0
7255,Female,conservative,C2_pre_rule,True,0.0,0.0,4,13.0,11.8949,0.0,0.0,0.0,0.0
4034,Female,-,C0_pure,True,0.0,0.0,4,14.5,10.9552,0.75,0.0,0.5,1.0
4034,Female,-,C1_posthoc,False,,,0,,,,,,
4034,Female,aggressive,C2_pre_rule,True,0.0,0.0,4,9.75,5.4299,0.0,0.0,0.0,0.0
4034,Female,conservative,C2_pre_rule,True,0.0,0.0,4,10.75,4.864,0.0,0.0,0.0,0.0
